added_route_id,trip_id
741,61947223
742,61947223
743,61947223
741,61947225
742,61947225
743,61947225
741,61947226
742,61947226
743,61947226
741,61947229
742,61947229
743,61947229
741,61947230
742,61947230
743,61947230
741,61947234
742,61947234
743,61947234
741,61947236
742,61947236
743,61947236
741,61947650
742,61947650
743,61947650
741,61884965
742,61884965
743,61884965
741,61884972
742,61884972
743,61884972
741,61884973
742,61884973
743,61884973
741,61884974
742,61884974
743,61884974
741,61884975
742,61884975
743,61884975
741,61884976
742,61884976
743,61884976
741,61884977
742,61884977
743,61884977
741,61884978
742,61884978
743,61884978
741,61884979
742,61884979
743,61884979
741,61884980
742,61884980
743,61884980
741,61884981
742,61884981
743,61884981
741,61884982
742,61884982
743,61884982
741,61884983
742,61884983
743,61884983
741,61884984
742,61884984
743,61884984
741,61884987
742,61884987
743,61884987
741,61884996
742,61884996
743,61884996
741,61885001
742,61885001
743,61885001
741,61885002
742,61885002
743,61885002
741,61885005
742,61885005
743,61885005
741,61885014
742,61885014
743,61885014
741,61885018
742,61885018
743,61885018
741,61885020
742,61885020
743,61885020
741,61885026
742,61885026
743,61885026
741,61885028
742,61885028
743,61885028
741,61885037
742,61885037
743,61885037
741,61885040
742,61885040
743,61885040
741,61885859
742,61885859
743,61885859
741,61886003
742,61886003
743,61886003
741,61886008
742,61886008
743,61886008
741,61886200
742,61886200
743,61886200
741,61886201
742,61886201
743,61886201
741,61886202
742,61886202
743,61886202
741,61947675
742,61947675
743,61947675
741,61947678
742,61947678
743,61947678
741,61947680
742,61947680
743,61947680
741,61947683
742,61947683
743,61947683
741,61947684
742,61947684
743,61947684
741,61947687
742,61947687
743,61947687
741,61947690
742,61947690
743,61947690
741,61947691
742,61947691
743,61947691
741,61947692
742,61947692
743,61947692
741,61947694
742,61947694
743,61947694
741,61947695
742,61947695
743,61947695
741,61902335
742,61902335
743,61902335
741,61902337
742,61902337
743,61902337
741,61902339
742,61902339
743,61902339
741,61902341
742,61902341
743,61902341
741,61902343
742,61902343
743,61902343
741,61902345
742,61902345
743,61902345
741,61902347
742,61902347
743,61902347
741,61902349
742,61902349
743,61902349
741,61902351
742,61902351
743,61902351
741,61902353
742,61902353
743,61902353
741,61902354
742,61902354
743,61902354
741,61902356
742,61902356
743,61902356
741,61902359
742,61902359
743,61902359
741,61902361
742,61902361
743,61902361
741,61902363
742,61902363
743,61902363
741,61902365
742,61902365
743,61902365
741,61902367
742,61902367
743,61902367
741,61902369
742,61902369
743,61902369
741,61902371
742,61902371
743,61902371
741,61902373
742,61902373
743,61902373
741,61902375
742,61902375
743,61902375
741,61902378
742,61902378
743,61902378
741,61902380
742,61902380
743,61902380
